['889', '826', '272', '8', '425', '933', '456', '596', '885', '433', '883', '269', '731', '748', '948', '225', '285', '589', '290', '276', '265', '54', '532', '415', '545', '368', '84', '223', '973', '83', '129']
['193', '484', '26', '544', '994', '472', '275', '37', '922', '343', '867', '293', '15', '980', '591', '534', '640', '542', '613', '399', '396', '846', '998', '111', '888', '220', '751', '611', '540', '462', '651']
['274', '828', '430', '404', '5', '309', '709', '862', '914', '736', '200', '241', '246', '359', '44', '133', '142', '294', '949', '436', '489', '227', '990', '957', '254', '538', '344', '442', '941', '716', '803']
['923', '448', '627', '337', '678', '317', '157', '667', '288', '932', '22', '13', '620', '499', '132', '76', '389', '407', '860', '583', '927', '740', '568', '497', '513', '126', '345', '707', '176', '921', '819']
['663', '316', '492', '253', '348', '720', '424', '563', '741', '413', '643', '986', '579', '197', '768', '687', '70', '205', '844', '418', '388', '221', '725', '14', '925', '531', '409', '557', '535', '138', '452']
['955', '521', '829', '28', '222', '210', '936', '332', '507', '187', '893', '732', '87', '843', '733', '758', '541', '604', '561', '877', '474', '319', '150', '624', '34', '42', '802', '976', '845', '47', '529']
['284', '36', '364', '99', '724', '794', '80', '841', '975', '303', '498', '939', '670', '61', '141', '562', '943', '387', '743', '91', '77', '12', '533', '410', '785', '626', '487', '23', '414', '639', '892']
['69', '349', '230', '664', '723', '996', '928', '326', '832', '953', '3', '435', '495', '823', '143', '525', '352', '289', '815', '705', '765', '988', '582', '746', '593', '574', '103', '632', '625', '987', '621']
['380', '218', '690', '17', '907', '520', '66', '208', '235', '296', '619', '686', '7', '406', '204', '281', '950', '480', '372', '573', '185', '434', '105', '715', '419', '586', '519', '597', '982', '401', '783']
['485', '801', '868', '528', '698', '323', '108', '960', '260', '585', '86', '457', '969', '59', '650', '106', '287', '778', '968', '880', '689', '839', '577', '122', '517', '350', '699', '217', '112', '890']
['946', '341', '0', '895', '863', '837', '394', '35', '894', '420', '280', '463', '718', '263', '75', '755', '445', '166', '760', '924', '581', '680', '356', '152', '958', '156', '236', '96', '107', '912']
['806', '154', '451', '450', '766', '852', '879', '799', '850', '31', '602', '821', '671', '504', '721', '780', '11', '145', '979', '833', '155', '666', '279', '97', '382', '813', '390', '431', '203', '631']
['539', '509', '266', '981', '913', '559', '299', '787', '876', '810', '342', '212', '505', '174', '167', '490', '974', '881', '24', '408', '665', '647', '427', '426', '717', '363', '146', '346', '812', '71']
['569', '79', '219', '189', '41', '162', '522', '295', '571', '250', '869', '496', '657', '283', '33', '373', '403', '432', '882', '727', '993', '125', '402', '851', '40', '440', '282', '291', '441', '594']
['381', '297', '661', '417', '357', '473', '704', '258', '262', '776', '770', '945', '942', '710', '549', '360', '301', '327', '874', '782', '195', '374', '367', '978', '500', '808', '911', '318', '919', '429']
['333', '595', '847', '119', '734', '238', '779', '947', '376', '961', '400', '836', '683', '471', '153', '897', '55', '470', '972', '940', '997', '57', '977', '25', '267', '548', '136', '506', '855', '115']
['920', '926', '865', '788', '416', '711', '134', '315', '183', '901', '612', '884', '795', '772', '62', '147', '27', '98', '692', '311', '92', '674', '131', '693', '729', '814', '437', '831', '798', '140']
['659', '649', '566', '992', '121', '20', '264', '292', '245', '774', '261', '536', '870', '629', '19', '547', '818', '777', '633', '255', '679', '411', '306', '455', '793', '298', '511', '745', '231', '809']
['123', '646', '523', '2', '365', '792', '100', '191', '607', '908', '209', '675', '488', '555', '567', '190', '655', '422', '248', '956', '467', '739', '598', '216', '493', '354', '623', '102', '378', '524']
['753', '353', '159', '215', '552', '820', '6', '116', '224', '816', '93', '503', '786', '237', '570', '234', '244', '478', '575', '761', '259', '899', '638', '252', '962', '553', '148', '669', '930', '207']
['790', '688', '551', '29', '397', '398', '78', '859', '405', '393', '662', '192', '249', '60', '681', '970', '438', '65', '744', '358', '966', '668', '600', '233', '45', '822', '206', '800', '113', '712']
['72', '58', '178', '144', '902', '73', '334', '494', '875', '366', '447', '94', '784', '453', '906', '931', '361', '39', '160', '213', '735', '856', '114', '477', '959', '909', '117', '609', '243', '43']
['180', '392', '239', '857', '614', '475', '48', '564', '971', '645', '308', '873', '630', '673', '118', '572', '130', '773', '175', '324', '848', '384', '51', '228', '641', '916', '508', '38', '763', '830']
