['148', '881', '237', '477', '464', '465', '612', '61', '834', '431', '615', '138', '587', '805', '958', '623', '901', '578', '723', '559', '802', '767', '181', '798', '314', '276', '82', '669', '899', '852', '709', '133']
['529', '786', '558', '323', '98', '272', '508', '109', '285', '536', '530', '86', '586', '512', '876', '955', '84', '940', '283', '263', '273', '298', '321', '542', '496', '92', '193', '887', '691', '268', '357']
['51', '796', '264', '891', '378', '269', '621', '299', '444', '613', '885', '162', '897', '616', '24', '800', '950', '763', '765', '473', '284', '523', '566', '646', '601', '543', '318', '416', '482', '163', '624']
['585', '34', '97', '8', '912', '386', '582', '194', '580', '219', '724', '696', '26', '412', '385', '949', '202', '153', '433', '639', '346', '570', '760', '147', '927', '467', '603', '747', '322', '167', '35']
['562', '350', '947', '146', '851', '911', '637', '681', '333', '27', '714', '522', '230', '23', '221', '506', '551', '223', '132', '634', '633', '105', '428', '758', '939', '608', '541', '356', '875', '766', '121']
['652', '921', '830', '177', '788', '295', '532', '21', '19', '783', '14', '88', '448', '172', '196', '817', '259', '425', '954', '331', '745', '605', '629', '437', '345', '405', '933', '338', '632', '12', '719']
['274', '838', '396', '324', '498', '372', '60', '686', '932', '474', '537', '849', '13', '101', '611', '824', '902', '205', '71', '818', '572', '490', '888', '693', '430', '394', '208', '782', '554', '249', '721']
['896', '471', '685', '779', '420', '171', '351', '317', '45', '53', '427', '297', '388', '16', '125', '777', '438', '832', '509', '305', '66', '546', '2', '207', '627', '579', '216', '595', '487', '905', '275']
['337', '281', '873', '87', '576', '846', '872', '456', '703', '136', '407', '754', '619', '288', '513', '658', '157', '776', '220', '573', '682', '524', '296', '375', '768', '10', '903', '347', '889', '837', '304']
['862', '525', '443', '363', '781', '864', '701', '355', '15', '415', '469', '894', '946', '182', '953', '83', '240', '85', '142', '735', '521', '277', '883', '422', '607', '857', '930', '175', '803', '141', '757']
['790', '429', '548', '107', '282', '604', '926', '449', '510', '869', '374', '204', '442', '120', '618', '108', '877', '278', '675', '332', '203', '123', '706', '729', '842', '254', '152', '450', '395', '434', '918']
['342', '600', '826', '671', '736', '819', '840', '853', '229', '439', '335', '952', '348', '256', '660', '451', '419', '248', '690', '563', '913', '81', '804', '369', '672', '491', '717', '104', '115', '294', '906']
['22', '590', '361', '360', '164', '301', '128', '73', '564', '910', '65', '267', '326', '961', '581', '209', '180', '651', '406', '1', '859', '293', '626', '364', '934', '750', '382', '816', '797', '922', '794']
['56', '95', '215', '235', '325', '57', '3', '504', '935', '470', '674', '435', '655', '302', '122', '528', '654', '870', '866', '722', '692', '769', '773', '392', '908', '679', '527', '399', '160', '956', '62']
['352', '502', '137', '640', '179', '199', '131', '850', '242', '801', '771', '458', '30', '484', '234', '387', '11', '480', '678', '501', '17', '213', '772', '599', '915', '867', '571', '775', '874', '518', '292']
['150', '641', '738', '945', '960', '811', '329', '565', '260', '700', '28', '190', '432', '720', '308', '102', '625', '843', '214', '647', '370', '588', '0', '327', '828', '728', '365', '556', '914', '140', '552']
['814', '241', '239', '737', '257', '676', '286', '821', '662', '793', '408', '447', '44', '100', '371', '462', '784', '124', '289', '584', '409', '116', '778', '463', '555', '835', '247', '70', '827', '18', '841']
['25', '483', '68', '96', '154', '80', '656', '712', '492', '733', '713', '441', '741', '749', '380', '188', '373', '201', '290', '708', '752', '79', '183', '925', '212', '628', '481', '271', '533', '367', '699']
['519', '5', '63', '833', '49', '20', '436', '119', '740', '252', '54', '526', '143', '127', '948', '815', '770', '91', '858', '569', '898', '561', '114', '139', '417', '445', '687', '635', '666', '67', '262']
