['959', '36', '12', '279', '88', '236', '419', '233']
['679', '869', '107', '543', '894', '719', '333', '60']
['360', '67', '479', '833', '938', '50', '308', '582']
['381', '820', '257', '357', '430', '197', '368', '178']
['343', '443', '229', '703', '219', '481', '632', '913']
['958', '155', '747', '888', '150', '841', '720', '915']
['688', '464', '574', '112', '718', '79', '26', '39']
['99', '467', '252', '793', '768', '482', '965', '539']
['196', '925', '7', '171', '314', '426', '268', '509']
['563', '376', '952', '661', '531', '320', '560', '390']
['101', '158', '131', '850', '166', '14', '549', '274']
['397', '884', '266', '97', '742', '149', '846', '287']
['666', '557', '523', '790', '436', '129', '852', '493']
['193', '668', '761', '113', '829', '526', '383', '119']
['656', '694', '611', '317', '238', '280', '263', '767']
['830', '804', '127', '318', '627', '116', '709', '553']
['379', '432', '310', '23', '650', '424', '947', '54']
['778', '956', '124', '174', '807', '370', '303', '651']
['154', '899', '943', '377', '813', '853', '901', '501']
['910', '629', '528', '932', '585', '933', '819', '244']
['754', '532', '892', '583', '779', '753', '190', '182']
['416', '584', '877', '972', '717', '663', '223', '573']
['417', '769', '395', '785', '579', '108', '878', '68']
['43', '622', '839', '818', '940', '40', '433', '673']
['559', '134', '529', '935', '598', '522', '418', '260']
['772', '962', '271', '626', '664', '488', '367', '95']
['408', '537', '801', '708', '307', '641', '91', '495']
['94', '337', '123', '328', '797', '710', '515', '544']
['642', '974', '937', '971', '916', '592', '374', '366']
['283', '400', '638', '85', '548', '838', '277', '690']
['486', '401', '542', '953', '185', '163', '706', '427']
['0', '132', '880', '323', '633', '35', '278', '281']
['62', '867', '554', '309', '354', '371', '871', '448']
['725', '162', '567', '8', '927', '755', '909', '474']
['798', '863', '352', '770', '37', '780', '306', '714']
['961', '100', '102', '577', '594', '30', '873', '311']
['338', '546', '950', '607', '29', '31', '957', '451']
