['MasterBeetleTheGreatRobotSniffer', 'DuchessBarneyTheMightyMonsterSniffer', 'DuchessBeetleTheBraveDragonEater', 'MasterShadowTheTrueDragonSniffer', 'SirShadowTheBraveZombieMaker', 'MasterSushiTheHeroicZombieHunter', 'LordBeetleTheGreatZombieSniffer', 'QueenBarneyTheGreatVampireEater', 'QueenFluffyTheBraveRobotHunter', 'DukeTrinityTheGreatDragonEater', 'DukeJellyTheBraveZombieEater', 'MadameBeetleTheBraveVampireFinder', 'DukeShadowTheBraveRobotFinder', 'QueenJellyTheHeroicVampireHunter', 'LordSushiTheHeroicDragonMaker', 'DuchessFluffyTheGreatZombieSniffer', 'LordSushiTheBraveZombieSniffer', 'QueenShadowTheHeroicMonsterSniffer', 'LordBarneyTheBraveVampireHunter', 'QueenSushiTheHeroicVampireFinder']
['DuchessBarneyTheTrueDragonMaker', 'DuchessSushiTheHeroicRobotHunter', 'LordFluffyTheGreatMonsterHunter', 'MadameSushiTheGreatRobotFinder', 'DukeBarneyTheHeroicRobotHunter', 'MasterShadowTheMightyMonsterFinder', 'MadameSushiTheMightyZombieHunter', 'DuchessShadowTheTrueZombieSniffer', 'MasterShadowTheBraveDragonFinder', 'QueenTrinityTheBraveZombieFinder', 'MasterTrinityTheHeroicZombieMaker', 'MadameBeetleTheHeroicDragonFinder', 'DukeSushiTheGreatZombieFinder', 'MasterJellyTheBraveDragonHunter', 'LordTrinityTheTrueZombieHunter', 'DukeJellyTheBraveZombieFinder', 'SirJellyTheTrueDragonHunter', 'DuchessJellyTheHeroicDragonSniffer', 'SirFluffyTheTrueRobotEater', 'DukeSushiTheGreatDragonSniffer']
['MasterSushiTheBraveRobotEater', 'QueenTrinityTheBraveVampireSniffer', 'LordShadowTheBraveRobotMaker', 'DuchessTrinityTheGreatMonsterFinder', 'DuchessBeetleTheTrueZombieHunter', 'LordBeetleTheHeroicMonsterSniffer', 'DuchessTrinityTheGreatZombieFinder', 'MadameJellyTheGreatMonsterEater', 'LordFluffyTheGreatDragonHunter', 'QueenBeetleTheBraveMonsterMaker', 'MadameShadowTheGreatRobotHunter', 'SirBarneyTheGreatRobotEater', 'MasterBarneyTheHeroicZombieMaker', 'DuchessBeetleTheHeroicZombieEater', 'SirSushiTheTrueRobotEater', 'SirBeetleTheHeroicDragonHunter', 'LordFluffyTheGreatMonsterFinder', 'SirBarneyTheGreatZombieEater', 'QueenSushiTheHeroicVampireMaker', 'MasterBeetleTheHeroicRobotFinder']
['DukeTrinityTheHeroicRobotMaker', 'DukeBarneyTheHeroicZombieEater', 'DukeJellyTheHeroicDragonHunter', 'LordJellyTheBraveDragonEater', 'MasterBeetleTheHeroicRobotMaker', 'MasterFluffyTheGreatDragonEater', 'DukeShadowTheHeroicDragonEater', 'SirSushiTheTrueZombieFinder', 'DukeJellyTheTrueRobotFinder', 'LordJellyTheMightyMonsterFinder', 'SirFluffyTheBraveRobotHunter', 'SirBarneyTheGreatMonsterHunter', 'LordTrinityTheHeroicMonsterSniffer', 'SirBarneyTheTrueZombieEater', 'QueenBarneyTheMightyZombieEater', 'MadameShadowTheGreatVampireFinder', 'DukeBarneyTheTrueVampireEater', 'LordBeetleTheMightyZombieFinder', 'SirJellyTheGreatZombieMaker', 'QueenTrinityTheGreatMonsterHunter']
['QueenJellyTheHeroicZombieSniffer', 'DukeFluffyTheHeroicVampireFinder', 'MasterBarneyTheGreatDragonEater', 'SirShadowTheMightyDragonHunter', 'QueenJellyTheBraveMonsterMaker', 'SirTrinityTheBraveZombieMaker', 'SirShadowTheMightyMonsterSniffer', 'LordBarneyTheMightyDragonEater', 'DukeJellyTheMightyRobotSniffer', 'DukeFluffyTheGreatRobotEater', 'MadameTrinityTheHeroicMonsterEater', 'MadameFluffyTheTrueVampireFinder', 'DukeJellyTheHeroicRobotSniffer', 'DukeBeetleTheHeroicVampireSniffer', 'QueenBeetleTheBraveVampireFinder', 'SirJellyTheGreatDragonFinder', 'MasterBarneyTheBraveVampireFinder', 'DukeSushiTheTrueVampireMaker', 'SirBarneyTheMightyRobotSniffer', 'QueenBarneyTheGreatRobotEater']
['QueenShadowTheHeroicZombieFinder', 'LordShadowTheHeroicDragonSniffer', 'QueenSushiTheTrueZombieEater', 'DuchessJellyTheHeroicMonsterHunter', 'LordFluffyTheGreatZombieHunter', 'MadameFluffyTheTrueZombieFinder', 'MadameJellyTheTrueRobotEater', 'SirJellyTheHeroicVampireEater', 'QueenTrinityTheTrueMonsterMaker', 'MasterShadowTheGreatRobotSniffer', 'MadameBarneyTheMightyVampireMaker', 'MasterBarneyTheTrueVampireEater', 'DuchessTrinityTheTrueDragonEater', 'MadameShadowTheBraveVampireFinder', 'LordJellyTheTrueDragonEater', 'MasterSushiTheBraveDragonFinder', 'DuchessBarneyTheMightyVampireHunter', 'DuchessTrinityTheTrueZombieEater', 'LordJellyTheBraveVampireHunter', 'QueenBarneyTheHeroicZombieHunter']
['DuchessJellyTheHeroicVampireMaker', 'SirTrinityTheMightyVampireEater', 'MasterTrinityTheGreatMonsterSniffer', 'DuchessShadowTheMightyVampireFinder', 'LordSushiTheBraveVampireEater', 'DukeShadowTheHeroicVampireHunter', 'MasterFluffyTheBraveVampireFinder', 'LordShadowTheBraveZombieSniffer', 'DuchessBarneyTheMightyVampireSniffer', 'DuchessBarneyTheBraveMonsterEater', 'MadameShadowTheGreatZombieSniffer', 'SirBeetleTheGreatZombieFinder', 'DukeSushiTheTrueDragonHunter', 'QueenJellyTheTrueMonsterMaker', 'QueenShadowTheBraveVampireMaker', 'SirBarneyTheBraveVampireMaker', 'DuchessSushiTheGreatVampireFinder', 'MasterBeetleTheGreatDragonSniffer', 'DuchessJellyTheHeroicMonsterMaker', 'LordBeetleTheGreatRobotSniffer']
['MasterTrinityTheHeroicDragonHunter', 'DukeShadowTheBraveRobotEater', 'QueenBarneyTheMightyZombieHunter', 'LordFluffyTheMightyVampireFinder', 'DukeJellyTheGreatMonsterSniffer', 'QueenTrinityTheBraveRobotSniffer', 'QueenBeetleTheHeroicMonsterSniffer', 'MadameShadowTheMightyZombieFinder', 'DuchessBarneyTheTrueDragonHunter', 'SirShadowTheMightyZombieEater', 'QueenTrinityTheBraveMonsterFinder', 'QueenShadowTheMightyMonsterMaker', 'QueenBeetleTheGreatDragonMaker', 'DuchessFluffyTheGreatRobotHunter', 'SirTrinityTheTrueDragonEater', 'DuchessBarneyTheGreatDragonMaker', 'DuchessBarneyTheBraveMonsterHunter', 'MadameSushiTheBraveVampireSniffer', 'DuchessSushiTheGreatVampireEater', 'MasterBeetleTheBraveDragonSniffer']
['MasterFluffyTheMightyZombieHunter', 'MadameShadowTheHeroicMonsterMaker', 'SirTrinityTheBraveRobotHunter', 'LordBarneyTheBraveRobotFinder', 'MasterTrinityTheMightyRobotSniffer', 'DukeSushiTheTrueDragonFinder', 'SirFluffyTheBraveMonsterMaker', 'SirShadowTheGreatZombieSniffer', 'DuchessSushiTheBraveMonsterHunter', 'MadameBeetleTheTrueMonsterSniffer', 'MadameTrinityTheGreatMonsterMaker', 'QueenTrinityTheBraveRobotFinder', 'SirBarneyTheHeroicRobotSniffer', 'SirFluffyTheMightyZombieMaker', 'DuchessFluffyTheBraveVampireSniffer', 'DukeFluffyTheTrueVampireMaker', 'LordTrinityTheGreatMonsterEater', 'DuchessFluffyTheBraveDragonHunter', 'DukeBeetleTheHeroicZombieMaker', 'MasterSushiTheMightyZombieHunter']
['MasterSushiTheHeroicRobotHunter', 'QueenFluffyTheHeroicMonsterMaker', 'DukeTrinityTheGreatDragonFinder', 'DuchessJellyTheTrueDragonHunter', 'DuchessShadowTheMightyVampireHunter', 'QueenFluffyTheBraveVampireHunter', 'QueenSushiTheMightyVampireEater', 'SirJellyTheGreatVampireHunter', 'DukeJellyTheGreatDragonFinder', 'DuchessFluffyTheGreatDragonEater', 'MasterShadowTheHeroicVampireSniffer', 'MadameJellyTheTrueZombieHunter', 'QueenShadowTheTrueMonsterFinder', 'DukeBeetleTheHeroicVampireFinder', 'DuchessShadowTheTrueVampireFinder', 'SirSushiTheTrueDragonMaker', 'MasterSushiTheTrueMonsterEater', 'MadameFluffyTheTrueMonsterEater', 'DuchessFluffyTheTrueVampireFinder', 'SirTrinityTheHeroicRobotSniffer']
['LordFluffyTheMightyVampireMaker', 'LordSushiTheHeroicRobotEater', 'DuchessShadowTheHeroicDragonHunter', 'LordBarneyTheBraveDragonSniffer', 'QueenJellyTheHeroicRobotHunter', 'QueenTrinityTheMightyMonsterHunter', 'SirJellyTheHeroicMonsterMaker', 'QueenShadowTheBraveRobotFinder', 'SirSushiTheGreatRobotEater', 'MadameTrinityTheBraveZombieEater', 'LordBarneyTheHeroicRobotSniffer', 'SirShadowTheHeroicVampireEater', 'MasterJellyTheGreatDragonHunter', 'DukeBarneyTheMightyRobotSniffer', 'LordJellyTheGreatRobotHunter', 'QueenBeetleTheBraveZombieFinder', 'QueenTrinityTheHeroicDragonHunter', 'DukeBarneyTheGreatVampireHunter', 'MasterTrinityTheBraveMonsterMaker', 'SirShadowTheHeroicRobotMaker']
['MadameFluffyTheBraveRobotFinder', 'LordTrinityTheBraveVampireMaker', 'SirFluffyTheBraveMonsterSniffer', 'SirShadowTheTrueVampireFinder', 'MasterSushiTheHeroicRobotSniffer', 'MasterTrinityTheMightyMonsterMaker', 'MasterTrinityTheMightyVampireEater', 'LordSushiTheGreatDragonEater', 'DuchessShadowTheBraveZombieHunter', 'DuchessSushiTheTrueMonsterFinder', 'DuchessShadowTheMightyMonsterSniffer', 'MasterJellyTheMightyMonsterHunter', 'MadameShadowTheHeroicMonsterEater', 'SirShadowTheGreatDragonHunter', 'MasterBeetleTheTrueZombieSniffer', 'MasterShadowTheMightyZombieEater', 'DuchessBarneyTheBraveMonsterMaker', 'QueenTrinityTheMightyVampireMaker', 'QueenBeetleTheGreatMonsterFinder', 'LordSushiTheGreatDragonSniffer']
['QueenTrinityTheBraveMonsterHunter', 'MasterJellyTheMightyDragonFinder', 'DukeSushiTheTrueMonsterEater', 'MadameBeetleTheTrueVampireEater', 'SirBeetleTheTrueRobotHunter', 'LordJellyTheBraveMonsterFinder', 'MasterBarneyTheGreatRobotEater', 'DuchessTrinityTheTrueMonsterHunter', 'MasterFluffyTheMightyDragonMaker', 'QueenBeetleTheGreatMonsterEater', 'QueenShadowTheTrueVampireSniffer', 'MasterBarneyTheHeroicVampireMaker', 'QueenTrinityTheMightyZombieHunter', 'MasterFluffyTheMightyRobotEater', 'DuchessShadowTheBraveDragonSniffer', 'DukeShadowTheMightyVampireEater', 'MasterTrinityTheHeroicDragonMaker', 'SirBeetleTheTrueMonsterMaker', 'MadameBarneyTheBraveVampireSniffer', 'SirFluffyTheTrueRobotHunter']
['QueenBeetleTheTrueRobotEater', 'DuchessSushiTheTrueMonsterSniffer', 'MadameJellyTheMightyZombieMaker', 'MasterBeetleTheMightyVampireSniffer', 'SirFluffyTheTrueVampireSniffer', 'SirSushiTheBraveZombieEater', 'SirTrinityTheTrueMonsterMaker', 'QueenTrinityTheGreatDragonHunter', 'SirTrinityTheBraveMonsterHunter', 'QueenBarneyTheMightyZombieMaker', 'DuchessJellyTheMightyDragonMaker', 'DukeBeetleTheTrueZombieFinder', 'SirShadowTheMightyRobotSniffer', 'QueenJellyTheHeroicZombieEater', 'MasterBarneyTheTrueZombieEater', 'MasterFluffyTheTrueDragonFinder', 'MadameSushiTheMightyDragonSniffer', 'MasterJellyTheHeroicZombieEater', 'SirShadowTheTrueMonsterEater', 'MasterShadowTheMightyMonsterSniffer']
['LordSushiTheMightyZombieFinder', 'DuchessJellyTheHeroicVampireHunter', 'MadameShadowTheGreatZombieMaker', 'DukeTrinityTheBraveMonsterMaker', 'DukeTrinityTheGreatDragonHunter', 'MasterSushiTheMightyVampireHunter', 'DukeJellyTheBraveVampireFinder', 'MasterBarneyTheTrueDragonFinder', 'DukeBarneyTheTrueZombieEater', 'QueenBarneyTheGreatRobotFinder', 'SirFluffyTheBraveZombieFinder', 'DuchessBeetleTheTrueDragonFinder', 'LordFluffyTheMightyVampireSniffer', 'DuchessShadowTheHeroicZombieFinder', 'MasterShadowTheBraveRobotEater', 'LordSushiTheGreatRobotHunter', 'SirTrinityTheMightyMonsterSniffer', 'DukeJellyTheHeroicRobotHunter', 'MadameSushiTheHeroicZombieFinder']
