['U', 'aa', 'jjjjjjjj', 'k', 'ggggg', 'iiiii', 'bb', 'ffffffff', 'bbb', 'EEEE', '5555555', 'ddd', 'lll', 'dddd', 'pppppp', 'BBBBB']
['iiii', '22', 'F', 'GGG', 'KKKKKKKK', 'xx', 'nnn', '777', 'vv', 'KKKK', 'HHHH', 'QQQQ', 'G', 'KKKKK', 'MM', 'WWWWWW']
['QQQQQQQQ', 'tttt', 'rrrr', 'SSSSSSSS', 'ggg', 'lllll', 'VVV', 'ooo', '888', 'YYYYYYY', 'NNNNNNNN', '7', 'jjjj', '666666', '3333', 'GGGGGGG']
['rrrrrrrr', '22222', 'III', 'RRRRR', 'IIIIIIII', '555555', '44444', 'ffffff', '444', 'SSSSSS', 'ssss', 'BBBBBBB', 'DDD', '4444444', 'mmmmm', 'qqqq']
['IIIII', '2222222', '222222', 'TTTT', 'MMM', 'CCCCCCCC', 'iiiiiiii', 'fffffff', 'ttt', 'II', 'ccc', 'TTTTTTT', 'bbbbbbb', 'uuuuu', 'EEEEEEEE', 'hhhhh']
['QQQQQQ', 'll', 'DDDD', 's', '44444444', 'VVVVVV', 'kkkkkkkk', 'ee', 'DDDDDDDD', 'UUUU', 'QQ', 'aaaa', 'uuuu', 'wwwwwww', 'zz', 'uuuuuuuu']
['zzzzzzzz', 'tt', 'FF', 'zzzzzz', 'RRRRRRRR', 'TTT', 'yyyyyyy', 'M', 'VVVVV', 'YYYY', 'llllll', 'JJJJJ', 'llllllll', 'DD', 'nnnnn', '6']
['nnnnnnn', 'y', '77777', 'yyy', 'h', 'JJJJ', 'IIIIII', 'hhhhhhh', 'JJJ', 'DDDDDDD', 'qqqqq', 'bbbbbb', 'gggggg', 'UUUUU', 'WWWWWWW', 'uu']
['UUUUUU', 'NNNN', 'i', 'hh', 'kkk', '33333', 'hhhhhhhh', 'xxxxxxx', '2222', 'OOOOOOOO', 'yy', 'LLLLL', 'NNNNNN', 'jjjjjj', 'WWWWW', '66666666']
['6666666', 'NNNNN', 'LLLLLLLL', '33333333', 'CCCCC', 'yyyyy', 'u', 'DDDDD', 'j', 'ooooooo', '55', 'rrr', '88888', '6666', 'ii', 'LLLL']
['VV', 'xxxxxxxx', 'MMMMM', 'ddddddd', 'GGGGG', 'ggggggg', 'xxxxx', 'rrrrrrr', 'n', 'ooooo', 'iiiiii', 'XXX', 'cccccc', 'EE', '11', '5555']
['qqqqqqq', 'pp', 'dddddddd', 'SSSSSSS', 'jjjjjjj', 'PPPPPPP', 'VVVV', 'WWWWWWWW', 'x', 'DDDDDD', 'ttttt', 'cc', 'eeeeeee', '333', 'XXXXXX', 'zzzzzzz']
['ZZZZZZ', 'aaaaaaa', 'vvvvvvv', 'ccccc', 'LLLLLL', '22222222', 'pppp', 'H', 'rrrrr', 'eeee', '3333333', 'c', 'JJJJJJJ', 'WWWW', '888888', '4']
['ttttttt', '7777', 'gggggggg', 'NN', 'WW', 'vvvvvv', '2', 'VVVVVVV', 'VVVVVVVV', 'vvv', 'HHH', 'EEEEEE', 'D', 'qq', '44', 'mmmmmmmm']
