['989', '268', '509', '728', '977', '733', '101', '658', '838', '904', '73', '370', '598', '473', '2', '323', '846', '92', '735', '447', '698', '409', '236', '703', '417', '550', '240', '580', '468', '706', '324']
['536', '272', '749', '798', '168', '428', '803', '271', '319', '143', '546', '624', '102', '457', '332', '903', '877', '581', '498', '27', '981', '421', '558', '165', '617', '353', '579', '724', '270', '166', '860']
['492', '450', '191', '825', '302', '133', '309', '20', '252', '551', '202', '945', '845', '747', '186', '678', '985', '562', '321', '62', '639', '636', '345', '493', '926', '513', '144', '590', '306', '70', '614']
['437', '561', '135', '866', '557', '283', '196', '773', '322', '644', '415', '620', '396', '777', '966', '534', '723', '170', '262', '585', '517', '474', '17', '995', '451', '174', '337', '67', '946', '586', '429']
['256', '692', '214', '913', '964', '961', '299', '565', '595', '449', '529', '43', '360', '778', '668', '739', '41', '893', '787', '939', '443', '994', '424', '794', '796', '462', '948', '463', '924', '458', '684']
['758', '611', '206', '604', '979', '993', '837', '246', '885', '481', '371', '204', '982', '48', '33', '453', '96', '217', '489', '467', '147', '231', '315', '327', '535', '198', '496', '629', '442', '241', '776']
['153', '541', '40', '928', '687', '612', '284', '750', '518', '118', '78', '301', '630', '374', '954', '490', '354', '820', '969', '259', '126', '890', '623', '927', '76', '239', '807', '471', '987', '475', '642']
['494', '582', '667', '931', '525', '344', '124', '25', '864', '867', '290', '355', '49', '892', '402', '6', '970', '694', '285', '520', '465', '50', '187', '960', '305', '767', '172', '646', '253', '640', '69']
['711', '148', '809', '972', '130', '320', '189', '466', '79', '454', '752', '469', '103', '152', '759', '175', '792', '568', '563', '663', '522', '427', '425', '1', '871', '688', '645', '35', '577', '707', '395']
['868', '115', '751', '58', '708', '944', '821', '391', '167', '156', '774', '210', '713', '734', '975', '704', '870', '851', '423', '574', '649', '57', '833', '14', '538', '888', '314', '925', '998', '289']
['858', '869', '727', '555', '38', '691', '298', '850', '740', '215', '997', '291', '412', '378', '791', '696', '508', '192', '275', '653', '763', '356', '333', '12', '100', '697', '650', '906', '3', '673']
['358', '689', '29', '209', '238', '980', '89', '380', '771', '806', '470', '158', '127', '308', '113', '154', '757', '120', '369', '112', '898', '366', '500', '912', '326', '499', '11', '625', '559', '920']
['389', '52', '267', '460', '488', '540', '942', '819', '651', '916', '349', '841', '141', '832', '404', '670', '626', '553', '875', '899', '446', '131', '368', '932', '790', '237', '844', '116', '134', '552']
['384', '863', '9', '37', '983', '652', '512', '681', '414', '150', '386', '138', '228', '934', '381', '609', '815', '211', '136', '542', '199', '923', '725', '346', '377', '826', '352', '991', '603', '741']
['738', '444', '799', '485', '705', '385', '90', '30', '295', '766', '746', '762', '416', '947', '743', '347', '988', '836', '895', '149', '545', '701', '219', '685', '709', '693', '874', '408', '726', '132']
['564', '107', '383', '21', '666', '233', '42', '824', '905', '142', '816', '655', '543', '221', '882', '511', '828', '200', '717', '672', '754', '593', '317', '243', '393', '281', '242', '13', '615', '823']
['205', '839', '865', '398', '680', '827', '914', '769', '700', '440', '554', '146', '965', '507', '363', '277', '781', '388', '497', '80', '171', '140', '569', '367', '439', '784', '772', '46', '760', '971']
['715', '31', '359', '605', '879', '560', '675', '464', '602', '84', '399', '316', '521', '194', '278', '721', '139', '343', '340', '455', '901', '805', '254', '87', '528', '583', '992', '519', '433', '797']
['97', '273', '556', '894', '401', '641', '184', '937', '185', '695', '379', '613', '578', '83', '572', '887', '742', '486', '169', '318', '157', '584', '212', '842', '269', '351', '852', '524', '420', '297']
['405', '996', '686', '753', '173', '296', '952', '193', '292', '491', '779', '261', '935', '26', '483', '250', '897', '814', '245', '397', '847', '855', '64', '288', '382', '23', '918', '533', '60', '576']
['110', '39', '223', '514', '968', '394', '71', '785', '266', '390', '452', '654', '65', '765', '953', '235', '951', '515', '335', '257', '627', '531', '940', '181', '768', '830', '589', '311', '178', '472']
['575', '190', '929', '702', '365', '54', '418', '411', '527', '310', '229', '718', '348', '782', '938', '755', '608', '91', '180', '293', '51', '510', '8', '661', '699', '530', '549', '958', '896', '622']
['915', '664', '461', '456', '633', '98', '547', '478', '674', '872', '232', '690', '336', '682', '114', '731', '24', '676', '88', '364', '921', '303', '482', '177', '419', '843', '548', '406', '287', '570']
