['a', 'aaaaa', 'bbbbbbb', 'bbbb', 'bbb', 'bbbbbbbb', 'aaaaaaaa', 'bbbbbb', 'bbbbb', 'bb', 'b', 'aa', 'aaaaaa', 'aaaaaaa', 'aaaa', 'aaa']
['O', 'OOOO', 'P', 'PP', 'PPPPPPP', 'OOOOOOOO', 'OO', 'PPPPPPPP', 'OOO', 'PPPPPP', 'PPP', 'PPPP', 'OOOOO', 'PPPPP', 'OOOOOO', 'OOOOOOO']
['Q', 'QQQQQQQ', 'QQQQ', 'RRRRRR', 'QQQQQQQQ', 'RR', 'QQQQQ', 'RRRR', 'QQQQQQ', 'R', 'QQQ', 'QQ', 'RRRRRRR', 'RRRRRRRR', 'RRRRR', 'RRR']
['S', 'TTT', 'T', 'TTTTTTTT', 'SSSS', 'TTTTTTT', 'TTTTT', 'SSSSSSSS', 'SSS', 'SS', 'TTTTTT', 'SSSSS', 'TTTT', 'SSSSSS', 'TT', 'SSSSSSS']
['U', 'VVVVV', 'VVVVVVV', 'UUU', 'UUUU', 'VVV', 'VVVVVV', 'UU', 'V', 'VVVVVVVV', 'UUUUUUUU', 'UUUUUUU', 'VV', 'VVVV', 'UUUUUU', 'UUUUU']
['W', 'XXXXXXX', 'XXXX', 'WW', 'WWWWWWW', 'WWW', 'WWWW', 'X', 'XX', 'XXXXXXXX', 'WWWWW', 'WWWWWWWW', 'WWWWWW', 'XXXXX', 'XXXXXX', 'XXX']
['Y', 'ZZZZZZZZ', 'ZZZZZZZ', 'ZZZZ', 'YYYYYYY', 'ZZZZZ', 'Z', 'ZZZ', 'YYYYYYYY', 'YYYY', 'YYYYY', 'ZZZZZZ', 'YY', 'YYY', 'YYYYYY', 'ZZ']
['1', '2222', '222', '111111', '2', '11', '1111', '2222222', '11111111', '22222', '22', '11111', '22222222', '1111111', '111', '222222']
['3', '44444444', '3333333', '33', '33333333', '4', '3333', '44', '444444', '444', '44444', '333333', '4444444', '33333', '333', '4444']
['5', '666', '66666666', '66', '555', '5555555', '666666', '6', '5555', '55555', '555555', '66666', '55', '55555555', '6666666', '6666']
['7', '8888', '777777', '888888', '88888888', '888', '8', '77777777', '77777', '8888888', '7777', '77', '88888', '777', '88', '7777777']
