['SirJellyTheTrueVampireSniffer', 'DukeJellyTheHeroicRobotHunter', 'MadameSushiTheHeroicZombieFinder', 'MasterTrinityTheMightyVampireEater', 'QueenFluffyTheTrueZombieHunter', 'DukeBeetleTheHeroicMonsterFinder', 'MadameTrinityTheGreatZombieEater', 'MasterShadowTheMightyMonsterFinder', 'SirFluffyTheBraveMonsterMaker', 'SirBarneyTheGreatZombieEater', 'DuchessBeetleTheTrueZombieHunter', 'QueenTrinityTheTrueRobotMaker', 'DuchessJellyTheHeroicMonsterHunter', 'QueenTrinityTheMightyMonsterHunter', 'MasterFluffyTheMightyDragonMaker', 'MasterBeetleTheTrueVampireMaker', 'MadameJellyTheTrueRobotEater', 'LordSushiTheTrueMonsterEater', 'MadameSushiTheMightyMonsterEater', 'SirFluffyTheBraveRobotHunter']
['DukeJellyTheMightyDragonFinder', 'QueenJellyTheHeroicZombieEater', 'MasterSushiTheMightyVampireHunter', 'SirShadowTheGreatRobotMaker', 'SirTrinityTheTrueDragonEater', 'MasterTrinityTheHeroicRobotFinder', 'QueenJellyTheGreatRobotMaker', 'MadameBarneyTheTrueMonsterFinder', 'LordSushiTheGreatRobotHunter', 'SirJellyTheGreatDragonFinder', 'MasterBarneyTheTrueVampireSniffer', 'DukeSushiTheGreatZombieFinder', 'MasterBarneyTheTrueZombieEater', 'LordTrinityTheGreatMonsterEater', 'MasterBarneyTheTrueDragonFinder', 'SirTrinityTheHeroicVampireFinder', 'DukeBarneyTheHeroicRobotHunter', 'MasterSushiTheHeroicRobotHunter', 'SirFluffyTheTrueVampireSniffer', 'DuchessBarneyTheBraveZombieMaker']
['DukeFluffyTheGreatRobotEater', 'QueenFluffyTheBraveRobotFinder', 'SirShadowTheTrueMonsterEater', 'QueenSushiTheMightyMonsterEater', 'MasterTrinityTheHeroicZombieMaker', 'LordFluffyTheMightyMonsterSniffer', 'LordJellyTheBraveDragonEater', 'DuchessBarneyTheBraveMonsterEater', 'DukeFluffyTheHeroicVampireFinder', 'MasterFluffyTheGreatDragonEater', 'DukeTrinityTheBraveMonsterMaker', 'SirTrinityTheTrueMonsterMaker', 'SirJellyTheTrueDragonHunter', 'QueenSushiTheTrueZombieEater', 'MadameShadowTheBraveZombieHunter', 'LordJellyTheBraveVampireSniffer', 'MadameTrinityTheHeroicZombieFinder', 'QueenTrinityTheBraveRobotFinder', 'QueenBeetleTheBraveMonsterMaker', 'DukeJellyTheTrueRobotFinder']
['MasterSushiTheHeroicRobotSniffer', 'DuchessShadowTheMightyVampireFinder', 'LordSushiTheGreatMonsterSniffer', 'MasterBeetleTheTrueMonsterFinder', 'SirBeetleTheHeroicMonsterEater', 'MasterFluffyTheTrueMonsterEater', 'LordTrinityTheBraveVampireMaker', 'SirFluffyTheTrueMonsterFinder', 'DuchessSushiTheHeroicDragonFinder', 'MasterJellyTheMightyZombieEater', 'LordBarneyTheHeroicRobotSniffer', 'MadameShadowTheBraveRobotEater', 'SirBeetleTheTrueRobotHunter', 'QueenJellyTheHeroicVampireHunter', 'DuchessBarneyTheGreatDragonMaker', 'QueenBarneyTheMightyZombieHunter', 'DuchessFluffyTheTrueRobotFinder', 'MasterShadowTheMightyMonsterSniffer', 'DukeSushiTheHeroicZombieHunter', 'DuchessFluffyTheGreatRobotHunter']
['MasterTrinityTheHeroicMonsterSniffer', 'LordTrinityTheTrueZombieHunter', 'DukeJellyTheGreatMonsterFinder', 'MasterBarneyTheGreatRobotEater', 'DukeJellyTheHeroicRobotSniffer', 'SirShadowTheHeroicRobotMaker', 'DukeFluffyTheMightyZombieHunter', 'MasterTrinityTheMightyVampireMaker', 'DukeJellyTheHeroicDragonHunter', 'LordBarneyTheMightyRobotFinder', 'QueenFluffyTheBraveDragonFinder', 'QueenTrinityTheMightyZombieHunter', 'QueenBarneyTheBraveMonsterHunter', 'MasterFluffyTheHeroicMonsterEater', 'QueenBarneyTheGreatVampireEater', 'DukeJellyTheBraveZombieFinder', 'DukeBeetleTheHeroicZombieMaker', 'LordJellyTheBraveVampireHunter', 'DuchessSushiTheBraveMonsterHunter', 'MasterBeetleTheHeroicRobotMaker']
['QueenBeetleTheBraveVampireFinder', 'MasterJellyTheMightyMonsterHunter', 'DuchessBeetleTheBraveDragonEater', 'MasterJellyTheHeroicMonsterHunter', 'SirSushiTheTrueRobotEater', 'MasterTrinityTheHeroicDragonMaker', 'DukeShadowTheHeroicVampireHunter', 'DuchessBeetleTheMightyMonsterFinder', 'LordTrinityTheMightyDragonEater', 'MadameTrinityTheBraveMonsterSniffer', 'MadameFluffyTheBraveRobotFinder', 'MasterBeetleTheMightyVampireSniffer', 'SirSushiTheBraveZombieEater', 'LordFluffyTheGreatMonsterHunter', 'SirBeetleTheMightyVampireFinder', 'MasterJellyTheHeroicRobotHunter', 'MadameSushiTheGreatVampireSniffer', 'MasterBarneyTheTrueVampireEater', 'QueenBeetleTheBraveZombieFinder', 'MadameShadowTheHeroicMonsterMaker']
['LordBeetleTheBraveDragonFinder', 'MasterJellyTheBraveDragonHunter', 'SirJellyTheGreatVampireHunter', 'MadameJellyTheBraveDragonHunter', 'SirJellyTheHeroicMonsterMaker', 'DukeShadowTheBraveRobotHunter', 'MadameBeetleTheHeroicDragonFinder', 'MadameSushiTheGreatRobotFinder', 'LordShadowTheHeroicDragonHunter', 'MasterFluffyTheMightyRobotEater', 'DukeBarneyTheMightyRobotSniffer', 'LordJellyTheGreatVampireSniffer', 'QueenBeetleTheHeroicMonsterSniffer', 'QueenBeetleTheGreatDragonSniffer', 'QueenTrinityTheBraveVampireEater', 'MasterShadowTheTrueZombieEater', 'LordBeetleTheHeroicZombieFinder', 'DukeBeetleTheTrueZombieFinder', 'DuchessJellyTheMightyDragonMaker', 'QueenTrinityTheBraveMonsterFinder']
['DuchessBeetleTheTrueZombieEater', 'LordSushiTheMightyZombieFinder', 'SirFluffyTheTrueZombieHunter', 'SirShadowTheMightyDragonMaker', 'DuchessShadowTheTrueVampireFinder', 'DukeTrinityTheHeroicRobotMaker', 'LordJellyTheGreatRobotHunter', 'QueenTrinityTheBraveZombieHunter', 'DuchessBeetleTheTrueZombieSniffer', 'LordFluffyTheBraveZombieFinder', 'SirShadowTheMightyZombieEater', 'SirFluffyTheTrueRobotHunter', 'SirTrinityTheBraveZombieMaker', 'LordBeetleTheHeroicMonsterMaker', 'SirShadowTheMightyMonsterSniffer', 'SirBarneyTheMightyRobotSniffer', 'LordFluffyTheTrueMonsterMaker', 'SirTrinityTheGreatDragonFinder', 'MasterShadowTheHeroicMonsterSniffer', 'SirFluffyTheGreatMonsterHunter']
['DuchessFluffyTheTrueVampireFinder', 'MasterJellyTheMightyRobotEater', 'SirShadowTheGreatDragonHunter', 'DukeBarneyTheTrueVampireEater', 'QueenFluffyTheBraveVampireHunter', 'MadameJellyTheBraveDragonEater', 'MasterBeetleTheHeroicZombieMaker', 'MasterBarneyTheHeroicZombieMaker', 'DuchessBarneyTheBraveMonsterMaker', 'MasterFluffyTheTrueMonsterFinder', 'LordBarneyTheHeroicVampireHunter', 'MasterFluffyTheMightyZombieHunter', 'DuchessBarneyTheGreatDragonHunter', 'QueenBarneyTheMightyRobotFinder', 'QueenBarneyTheGreatVampireSniffer', 'LordFluffyTheHeroicMonsterHunter', 'DukeSushiTheTrueVampireMaker', 'DuchessSushiTheTrueMonsterFinder', 'MasterFluffyTheMightyMonsterMaker', 'SirBeetleTheBraveZombieEater']
['LordTrinityTheHeroicMonsterSniffer', 'MasterTrinityTheHeroicDragonHunter', 'MasterJellyTheGreatZombieHunter', 'MasterTrinityTheBraveDragonHunter', 'SirJellyTheBraveZombieFinder', 'SirTrinityTheBraveRobotHunter', 'SirTrinityTheBraveMonsterHunter', 'LordJellyTheMightyMonsterFinder', 'MadameJellyTheGreatMonsterEater', 'SirBeetleTheHeroicDragonHunter', 'SirBarneyTheTrueZombieEater', 'DuchessFluffyTheGreatRobotEater', 'QueenJellyTheGreatZombieMaker', 'DukeBeetleTheHeroicVampireFinder', 'QueenFluffyTheMightyVampireEater', 'LordFluffyTheTrueMonsterSniffer', 'SirTrinityTheHeroicRobotSniffer', 'DuchessTrinityTheTrueZombieEater', 'DukeTrinityTheGreatDragonEater', 'MasterShadowTheGreatRobotHunter']
['SirSushiTheTrueDragonMaker', 'DukeShadowTheGreatMonsterEater', 'MasterBarneyTheHeroicDragonEater', 'SirBeetleTheGreatZombieFinder', 'QueenShadowTheTrueMonsterFinder', 'MasterShadowTheTrueDragonSniffer', 'LordBarneyTheBraveVampireHunter', 'LordFluffyTheBraveVampireHunter', 'DuchessFluffyTheGreatZombieSniffer', 'DuchessJellyTheHeroicDragonSniffer', 'MasterBarneyTheGreatDragonEater', 'LordJellyTheTrueMonsterMaker', 'MadameJellyTheHeroicDragonEater', 'QueenBarneyTheMightyMonsterEater', 'MasterBarneyTheBraveVampireFinder', 'DuchessTrinityTheTrueMonsterHunter', 'MasterSushiTheTrueMonsterEater', 'QueenBarneyTheTrueRobotFinder', 'QueenJellyTheBraveMonsterMaker', 'MadameJellyTheTrueVampireHunter']
['SirBarneyTheHeroicRobotSniffer', 'MasterBeetleTheHeroicRobotFinder', 'QueenBarneyTheGreatRobotFinder', 'DuchessShadowTheMightyMonsterSniffer', 'DukeShadowTheMightyVampireEater', 'DukeBarneyTheHeroicZombieEater', 'LordShadowTheBraveVampireHunter', 'QueenTrinityTheGreatDragonHunter', 'QueenShadowTheHeroicZombieFinder', 'MasterSushiTheBraveDragonFinder', 'QueenJellyTheTrueMonsterMaker', 'DukeSushiTheTrueMonsterEater', 'DuchessBarneyTheMightyVampireSniffer', 'LordShadowTheHeroicDragonSniffer', 'DukeBarneyTheTrueZombieEater', 'DukeJellyTheMightyRobotSniffer', 'DuchessShadowTheTrueZombieSniffer', 'DukeSushiTheTrueDragonFinder', 'DukeShadowTheBraveRobotEater', 'DuchessFluffyTheBraveVampireSniffer']
['MasterSushiTheMightyMonsterEater', 'DuchessJellyTheHeroicVampireHunter', 'SirFluffyTheTrueRobotEater', 'MasterShadowTheMightyZombieEater', 'MasterFluffyTheBraveVampireFinder', 'MadameBarneyTheBraveVampireSniffer', 'SirShadowTheBraveRobotHunter', 'MadameTrinityTheHeroicMonsterEater', 'MasterSushiTheBraveRobotEater', 'DuchessSushiTheGreatVampireFinder', 'MasterTrinityTheGreatMonsterSniffer', 'DukeShadowTheHeroicDragonEater', 'MasterBeetleTheTrueVampireHunter', 'DuchessJellyTheHeroicVampireMaker', 'DuchessBarneyTheTrueDragonMaker', 'DukeFluffyTheMightyZombieFinder', 'MadameShadowTheBraveVampireFinder', 'MasterShadowTheGreatRobotSniffer', 'QueenSushiTheTrueVampireEater', 'QueenTrinityTheHeroicRobotSniffer']
['DukeSushiTheTrueDragonHunter', 'QueenTrinityTheBraveVampireSniffer', 'MasterBeetleTheMightyDragonMaker', 'LordBarneyTheBraveDragonSniffer', 'DuchessBeetleTheHeroicZombieEater', 'DuchessBarneyTheBraveMonsterHunter', 'MadameBarneyTheGreatMonsterSniffer', 'SirShadowTheGreatRobotSniffer', 'QueenBarneyTheMightyZombieMaker', 'DukeSushiTheGreatDragonSniffer', 'LordFluffyTheMightyRobotSniffer', 'QueenJellyTheGreatMonsterFinder', 'QueenJellyTheMightyZombieFinder', 'DuchessTrinityTheGreatMonsterFinder', 'SirBarneyTheBraveRobotHunter', 'MadameJellyTheBraveVampireEater', 'MadameTrinityTheGreatDragonSniffer', 'LordJellyTheBraveMonsterFinder', 'DuchessShadowTheHeroicVampireSniffer', 'MadameJellyTheGreatZombieMaker']
['MadameSushiTheMightyRobotMaker', 'MadameJellyTheGreatVampireFinder', 'DukeBeetleTheMightyRobotHunter', 'SirJellyTheGreatZombieMaker', 'MadameBeetleTheBraveVampireFinder', 'MadameSushiTheMightyVampireHunter', 'QueenSushiTheHeroicVampireMaker', 'MadameShadowTheGreatRobotHunter', 'LordFluffyTheGreatDragonHunter', 'DukeTrinityTheGreatDragonFinder', 'MasterBarneyTheHeroicVampireMaker', 'DukeJellyTheBraveVampireFinder', 'DukeBarneyTheHeroicRobotFinder', 'MadameJellyTheTrueZombieHunter', 'DukeJellyTheBraveZombieEater', 'QueenBeetleTheTrueRobotEater', 'DukeFluffyTheTrueVampireMaker', 'QueenShadowTheBraveRobotFinder', 'SirTrinityTheMightyMonsterSniffer']
